Envelope,Threshold
0.3296517437894831,0.05
0.314944789278436,0.05
0.3054861307790959,0.05
0.31725441597310355,0.05
0.34559346528359575,0.05
0.3603895965371984,0.05
0.3595058142967567,0.05
0.36948380799113073,0.05
0.3839047193137741,0.05
0.38983292507642864,0.05
0.38083049682786774,0.05
0.3624293676407748,0.05
0.3342489222231523,0.05
0.32576280467147356,0.05
0.32765901590241303,0.05
0.33062907879825065,0.05
0.354917962798336,0.05
0.3801409093828997,0.05
0.38899553195638503,0.05
0.4023408956239456,0.05
0.40812615305096756,0.05
0.4119184890411226,0.05
0.4077739235767083,0.05
0.38697306378551,0.05
0.3557431637548247,0.05
0.3523696921040149,0.05
0.36181563617649626,0.05
0.34613962877482585,0.05
0.3370314729041635,0.05
0.3346048563369462,0.05
0.33222613565778863,0.05
0.3287842309311449,0.05
0.329053175393479,0.05
0.3100652097431386,0.05
0.28147069384862,0.05
0.255810910811565,0.05
0.22364851299754085,0.05
0.1958950145105895,0.05
0.18217643806153488,0.05
0.16548951129696693,0.05
0.16008534926204124,0.05
0.1555342701874132,0.05
0.14292289065406097,0.05
0.13203126031793885,0.05
0.13041043757821005,0.05
0.13264455605909226,0.05
0.1538879287312094,0.05
0.1803801059162682,0.05
0.1752296652942414,0.05
0.17750707352181969,0.05
0.18636369138830702,0.05
0.19072779528335215,0.05
0.19188874005207707,0.05
0.19361321645683938,0.05
0.2001334029735419,0.05
0.20488796243182728,0.05
0.2045872025689187,0.05
0.20179447773401896,0.05
0.2026448646773304,0.05
0.2091212738858209,0.05
0.21474019077504009,0.05
0.21784407561796967,0.05
0.2153033190777389,0.05
0.2141222071191352,0.05
0.22022695363062775,0.05
0.2131788882455991,0.05
0.187307180464523,0.05
0.1591876312285929,0.05
0.15384142060523348,0.05
0.14414139450343103,0.05
0.13578370931414482,0.05
0.12910268206706735,0.05
0.12180966289638248,0.05
0.11352581704542009,0.05
0.10367093041640564,0.05
0.09587034923168293,0.05
0.08975348506343644,0.05
0.08630644198922527,0.05
0.08195110407801622,0.05
0.07161364446635571,0.05
0.06422093104812114,0.05
0.06301646983169705,0.05
0.06798725575637096,0.05
0.07344324142903699,0.05
0.07277120033334535,0.05
0.0667689377752678,0.05
0.06081906133890386,0.05
0.060157360823819256,0.05
0.0591505176877153,0.05
0.059887894232601505,0.05
0.05788181657998946,0.05
0.05762604127593374,0.05
0.05787394050709982,0.05
0.057857836120475535,0.05
0.05721321792191392,0.05
0.05614808537364746,0.05
0.05552689602281168,0.05
0.053957457073528364,0.05
0.0524200197701455,0.05
0.05293675617299344,0.05
0.04999155181864589,0.05
0.04337579101187902,0.05
0.03598971499394565,0.05
0.02939963064918873,0.05
0.02566368127358435,0.05
0.02353729629546901,0.05
0.022066470962658326,0.05
0.02210256453480783,0.05
0.02122229517767045,0.05
0.02002783269457921,0.05
0.020011746069663387,0.05
0.019974957580718065,0.05
0.019357308095119215,0.05
0.01987937467245463,0.05
0.02139813171450322,0.05
0.02179668924846282,0.05
0.02062535070972732,0.05
0.02075278225718727,0.05
0.021005930014339393,0.05
0.02100255087002965,0.05
0.020685209816679147,0.05
0.022406190504834642,0.05
0.02263786203586771,0.05
0.02179223322923064,0.05
0.02025042789450737,0.05
0.019990568039791195,0.05
0.02125213032601092,0.05
0.021718025504639565,0.05
0.02240219044205499,0.05
0.02280883358433369,0.05
0.022693269108720247,0.05
0.023036822696096755,0.05
0.023054931259687026,0.05
0.023253555728824177,0.05
0.02244688564135554,0.05
0.022057650513311704,0.05
0.02271199552466827,0.05
